"code";"label"
"SibResDesk";"Sibley Music Reserve Desk - 3rd Fl"
"SibFolio";"Sibley Music Score Folios (Circulating) - 3rd Fl"
"SibFolioRC";"Sibley Music Score Folios (Restricted Circ) - 3rd Fl"
"SibScoThes";"Sibley Music Score Theses - 2nd Fl Folio Stacks"
"SibSer";"Sibley Music Serials Department - use ""Request This Item"""
"SibStack";"Sibley Music Stacks (Circulating) - 2nd 3rd or 4th Fl"
"SibRstrctd";"Sibley Music Stacks (Restricted Circ) - 2nd 3rd or 4th Fl"
"SibStaffRm";"Sibley Music Staff Lounge - use ""Request This Item"""
"SibUnclSto";"Sibley Music Storage (Unclassified) -use ""Request This Item"""
"SibStorage";"Sibley Music Storage - use ""Request This Item"""
"SibStorFol";"Sibley Music Storage Folios - use ""Request This Item"""
"SibUnclFol";"Sibley Music Storage Unclass Folios -use ""Request This Item"""
"SibStorWdn";"Sibley Music Storage Withdrawn (Non-Circulating)"
"SibStream";"Sibley Music Streamed Audio Reserve - Access Restricted"
"RheesRarAF";"Special Collections Annex Folio, Rhees 225 (Non-circulating)"
"RheesRareA";"Special Collections Annex, Rhees 225 (Non-circulating)"
"RheesRareF";"Special Collections Folio, Rhees 225 (Non-circulating)"
"HeyenFolio";"Special Collections Plutzik, Rhees 225 (Non-circulating)"
"Heyen";"Special Collections Plutzik, Rhees 225 (Non-circulating)"
"RheesRareR";"Special Collections Reception, Rhees 225 (Non-circulating)"
"RheesRareS";"Special Collections Seward Room, Rhees 225 (Non-circulating)"
"RheesRareB";"Special Collections, Rhees 225 (Non-circulating)"
"RheesRareG";"Special Collections, Rhees 225 (Non-circulating)"
"RBDavis";"Special Collections, Rhees 225 (Non-circulating)"
"RBSherlock";"Special Collections, Rhees 225 (Non-circulating)"
"RheesRLHM";"Special Collections, Rhees 225 (Non-circulating)"
"RheesRare";"Special Collections, Rhees 225 (Non-circulating)"
"RBManuscrp";"Special Collections, Rhees 225 (Non-circulating)"
"Borst";"Special Collections, Rhees 225 (Non-circulating)"
"RBKodakHis";"Special Collections, Rhees 225 (Non-circulating)"
"RBKodak";"Special Collections, Rhees 225 (Non-circulating)"
"RBHimes";"Special Collections, Rhees 225 (Non-circulating)"
"RBCage";"Special Collections, Rhees 225 (Non-circulating)"
"RheesRareC";"Special Collections,Cominsky Rhees 225 (Non-circulating)"
"StBResDesk";"St. Bernard's School of Theology and Ministry"
"DivAcq";"Swasey Div Acquisitions.  In process."
"DivAudioCD";"Swasey Div Audio CD. Ask at Circulation Desk."
"DivCat";"Swasey Div Cataloging.  In process."
"Div Circ";"Swasey Div Circ Desk. Ask at Circ Desk."
"DivCircOff";"Swasey Div Circulation Office.  Ask at Circ Desk."
"DivRareOf";"Swasey Div Closed Stacks Office. Ask at Circ Desk."
"DivSBIRfol";"Swasey Div Closed Stacks SBI Folio. Appt. req. for access"
"DivComp";"Swasey Div Computer Software/Files.  Ask at CMC Desk."
"DivPerCur";"Swasey Div Current Periodicals.  In Reading Room."
"DivDVD";"Swasey Div DVD. Ask at Circulation Desk."
"DivDirOff";"Swasey Div Director's Office.  Ask at Circ Desk."
"DivIncSer";"Swasey Div Incomplete Serials.  Ask at Circ Desk."
"DivBind";"Swasey Div Item on Bindery Shelf."
"DivMedia";"Swasey Div Media Center. Ask at CMC Desk"
"DivSpColF";"Swasey Div Rare Books Folio. Call 340-9602 for information."
"DivSBIRare";"Swasey Div Rare Books SBI. Call 340-9602 for information."
"DivSpCoXF";"Swasey Div Rare Books XFolio. Call 340-9602 for information."
"DivSpColl";"Swasey Div Rare Books. Call 340-9602 for information."
"DivReadRm";"Swasey Div Reference Collection. In Reading Room"
"DivRefOff";"Swasey Div Reference Office.  Ask at Circ Desk."
"DivReform";"Swasey Div Reformatting. Temporarily unavailable"
"DivStorag";"Swasey Div Remote Storage. Item unavailable."
"DivRepair";"Swasey Div Repair Shelf. Ask at Circ Desk."
"DivRes";"Swasey Div Reserve Collection. Ask at Circ Desk."
"DivSer";"Swasey Div Serials. Ask at Circ Desk."
"DivTSOff";"Swasey Div TS Office. Ask at Circ Desk."
"DivColl";"Swasey Divinity Circulating Collection"
"DivVHS";"Swasey Divinity VHS DVD and Audio Cassettes."
"DivDupSale";"Swasey Duplicates"
"System";"Systems Department"
"TEST";"TEST"
"Offsite1";"UR Library Annex 1 - use ""Request This Item"""
"Offsite2";"UR Library Annex 2 - use ""Request This Item"""
"RemTem400m";"UR Library Annex 2 - use ""Request This Item"""
"Offsite3";"UR Library Annex 3 - use ""Request This Item"""
"Div Folio";"UR Library Annex Divinity Oversize - use ""Request This Item"""
"DivXFolio";"UR Library Annex Divinity XOversize -use ""Request This Item"""
"Docx4AnnX";"UR Library Annex Gov't Docs Transfer-use ""Request This Item"""
"OffsiteGov";"UR Library Annex Gov't Docs1-Ask at Business & Gov't Library"
