Pilu,AR
Pleșcuța,AR
Poiana,AR
Poienari,AR
Prunișor,AR
Radna,AR
Rădești,AR
Rănușa,AR
Răpsig,AR
Revetiș,AR
Rogoz de Beliu,AR
Rostoci,AR
Roșia,AR
Roșia Nouă,AR
Satu Mare,AR
Satu Mic,AR
Satu Nou,AR
Sălăjeni,AR
Săvârșin,AR
Sâmbăteni,AR
Sânleani,AR
Sânmartin,AR
Sânpaul,AR
Sânpetru German,AR
Sântana,AR
Sârbi,AR
Sebiș,AR
Secaci,AR
Secaș,AR
Secusigiu,AR
Sederhat,AR
Seleuș,AR
Seliște,AR
Seliștea,AR
Semlac,AR
Sintea Mare,AR
Sintea Mică,AR
Slatina de Criș,AR
Slatina de Mureș,AR
Socodor,AR
Stejar,AR
Stoinești,AR
Susag,AR
Susani,AR
Șagu,AR
Șeitin,AR
Șepreuș,AR
Șiad,AR
Șiclău,AR
Șicula,AR
Șilindia,AR
Șimand,AR
Șiria,AR
Șiștarovăț,AR
Șofronea,AR
Șoimoș,AR
Șomoșcheș,AR
Tauț,AR
Tăgădău,AR
Tălagiu,AR
Tălmaci,AR
Târnăvița,AR
Târnova,AR
Temeșești,AR
Tisa,AR
Tisa Nouă,AR
Toc,AR
Troaș,AR
Turnu,AR
Țărmure,AR
Țela,AR
Țipar,AR
Țohești,AR
Urvișu de Beliu,AR
Ususău,AR
Valea Mare (Gurahonț),AR
Valea Mare (Săvârșin),AR
Variașu Mare,AR
Variașu Mic,AR
Varnița,AR
Vasile Goldiș,AR
Vărădia de Mureș,AR
Vărșand,AR
Văsoaia,AR
Vânători,AR
Vârfurile,AR
Vidra,AR
Vinga,AR
Virișmort,AR
Vladimirescu,AR
Voivodeni,AR
Zăbalț,AR
Zăbrani,AR
Zădăreni,AR
Zărand,AR
Zerind,AR
Zerindu Mic,AR
Zimandcuz,AR
Zimandu Nou,AR
Zimbru,AR
Adunați,AG
Afrimești,AG
Albești,AG
Albeștii Pământeni,AG
Albeștii Ungureni,AG
Albota,AG
Albotele,AG
Aluniș,AG
Alunișu (Băiculești),AG
Alunișu (Brăduleț),AG
Anghinești,AG
Aninoasa,AG
Arefu,AG
Argeșani,AG
Argeșelu,AG
Babaroaga,AG
Balabani,AG
Baloteasca,AG
Bascov,AG
Bascovele,AG
Băbana,AG
Băcești,AG
Bădeni,AG
Bădești (Bârla),AG
Bădești (Pietroșani),AG
Bădicea,AG
Bădila,AG
Bădislava,AG
Bădulești,AG
Băiculești,AG
Băila,AG
Băjănești,AG
Băjești,AG
Bălilești,AG
Bălilești (Tigveni),AG
Bălteni,AG
Bălțata,AG
Bănărești,AG
Bănicești,AG
Bărănești,AG
Bărăști,AG
Bărbălani,AG
Bărbălătești,AG
Bărbătești,AG
Bătrâni,AG
Bântău,AG
Bârla,AG
Bârlogu,AG
Bârloi,AG
Bârseștii de Jos,AG
Bârseștii de Sus,AG
Bârzești,AG
Beculești,AG
Beleți,AG
Berevoești,AG
Berindești,AG
Bilcești,AG
Blaju,AG
Blejani,AG
Bogați,AG
Bolculești,AG
Bolovănești,AG
Bordeieni,AG
Borlești,AG
Borobănești,AG
Borovinești,AG
Boteni,AG
Boțârcani,AG
Boțești,AG
Brabeți,AG
Bradu,AG
Braniștea,AG
Bratia (Berevoești),AG
Bratia (Ciomăgești),AG
Brădetu,AG
Brăduleț,AG
Brăileni,AG
Brăteasca,AG
Brătești,AG
Brânzari,AG
Broșteni (Aninoasa),AG
Broșteni (Costești),AG
Bucov,AG
Bucșenești,AG
Bucșenești-Lotași,AG
Budeasa,AG
Budeasa Mare,AG
Budeasa Mică,AG
Budișteni,AG
Bughea de Jos,AG
Bughea de Sus,AG
Bujoi,AG
Bujoreni,AG
Bumbueni,AG
Bunești (Cotmeana),AG
Bunești (Mălureni),AG
Burdea,AG
Burdești,AG
Burețești,AG
Burluși,AG
Burnești,AG
Buta,AG
Buzoești,AG
Calotești,AG
Capu Piscului (Godeni),AG
Capu Piscului (Merișani),AG
Catane,AG
Catanele,AG
Căldăraru,AG
Călinești,AG
Căpățânenii Pământeni,AG
Căpățânenii Ungureni,AG
Cărpeniș,AG
Căteasca,AG
Cătunași,AG
Câmpulung,AG
Cândești,AG
Cârcești,AG
Cârciumărești,AG
Cârstieni,AG
Ceaurești,AG
Ceaușești,AG
Cepari (Poiana Lacului),AG
Ceparii Pământeni,AG
Ceparii Ungureni,AG
Cerbu,AG
Cerbureni,AG
Cerșani,AG
Cetățeni,AG
Chilii,AG
Chirițești (Suseni),AG
Chirițești (Uda),AG
Chirițești (Vedea),AG
Chițani,AG
Chițești,AG
Cicănești,AG
Ciești,AG
Ciobani,AG
Ciobănești,AG
Ciocanu,AG
Ciocănăi,AG
Ciocănești,AG
Ciocești,AG
Ciofrângeni,AG
Ciolcești,AG
Ciomăgești,AG
Cireșu,AG
Cișmea,AG
Ciulnița,AG
Ciupa-Mănciulescu,AG
Ciurești,AG
Clucereasa,AG
Cocenești,AG
Cochinești,AG
Cocu,AG
Colibași,AG
Colnic,AG
Colțu,AG
Conțești,AG
Corbeni,AG
Corbi,AG
Corbșori,AG
Cornățel,AG
Cosaci,AG
Costești,AG
Costești (Cotmeana),AG
Costești-Vâlsan,AG
Costiță,AG
Coșeri,AG
