"code";"label"
"RheesRareR";"Rush Rhees Rare Books and Special Collections"
"RBCage";"Rush Rhees Rare Books and Special Collections"
"RBSherlock";"Rush Rhees Rare Books and Special Collections"
"HeyenFolio";"Rush Rhees Rare Books and Special Collections"
"Heyen";"Rush Rhees Rare Books and Special Collections"
"Borst";"Rush Rhees Rare Books and Special Collections"
"RheesRareA";"Rush Rhees Rare Books and Special Collections"
"RheesRLHM";"Rush Rhees Rare Books and Special Collections"
"RBManuscrp";"Rush Rhees Rare Books and Special Collections"
"RheesRare";"Rush Rhees Rare Books and Special Collections"
"RheesRareC";"Rush Rhees Rare Books and Special Collections"
"RheesRareF";"Rush Rhees Rare Books and Special Collections"
"RheesRareS";"Rush Rhees Rare Books and Special Collections"
"RheesMap";"Rush Rhees Reference"
"RheesAtlas";"Rush Rhees Reference"
"RheesCD";"Rush Rhees Reference"
"RheesCompd";"Rush Rhees Reference"
"RheesIndex";"Rush Rhees Reference"
"RheesLckCs";"Rush Rhees Reference"
"RheesTrBib";"Rush Rhees Reference"
"RheesRefOf";"Rush Rhees Reference"
"RheesRef";"Rush Rhees Reference"
"ESMRecArts";"Sibley Music Eastman Audio Archive"
"SibUnclFol";"Sibley Music Library"
"SibStorage";"Sibley Music Library"
"SibStorFol";"Sibley Music Library"
"SibUnclSto";"Sibley Music Library"
"ESMRecArts";"Sibley Music Library"
"SibNet";"Sibley Music Library"
"SibMicMast";"Sibley Music Library"
"SibMicAcq";"Sibley Music Library"
"SibMusEdNC";"Sibley Music Library"
"SibMusEdC";"Sibley Music Library"
"SibAcq";"Sibley Music Library"
"SibBarcode";"Sibley Music Library"
"SibBindery";"Sibley Music Library"
"SibNewMat";"Sibley Music Library"
"SibBindSp";"Sibley Music Library"
"SibBJrnl";"Sibley Music Library"
"SibBrittle";"Sibley Music Library"
"SibCat";"Sibley Music Library"
"SibCatFol";"Sibley Music Library"
"SibReview";"Sibley Music Library"
"SibOctavo";"Sibley Music Library"
"SibCircDsk";"Sibley Music Library"
"SibFolio";"Sibley Music Library"
"SibMinScor";"Sibley Music Library"
"SibCollWks";"Sibley Music Library"
"SibConserv";"Sibley Music Library"
"SibCurPer";"Sibley Music Library"
"SibDiscard";"Sibley Music Library"
"SibErasing";"Sibley Music Library"
"SibESMArch";"Sibley Music Library"
"SibHeckman";"Sibley Music Library"
"SibILL";"Sibley Music Library"
"SibLocCode";"Sibley Music Library"
"SibMicro";"Sibley Music Library"
"SibRefMisc";"Sibley Music Library"
"SibNewBook";"Sibley Music Library"
